VESSEL_ID,Trip_ID,OBSET_ID,Total_Hooks_Set,Hooks_Observed,BSL,Birds_Obs_Caught,Season,Hooks_Recovered,Year,Regulation
Joao N Castro,FAO24,Josef I Abambi_24_1,19800,,Yes,0,Summer,19680,2018,AFTER
Joao N Castro,FAO24,Josef I Abambi_24_1,21600,,Yes,0,Summer,21450,2018,AFTER
Joao N Castro,FAO24,Josef I Abambi_24_1,23400,,Yes,0,Summer,23220,2018,AFTER
Joao N Castro,FAO24,Josef I Abambi_24_1,22950,,Yes,0,Summer,22840,2018,AFTER
Joao N Castro,FAO24,Josef I Abambi_24_1,24300,,Yes,0,Summer,24200,2018,AFTER
Joao N Castro,FAO24,Josef I Abambi_24_1,24840,,Yes,0,Summer,24680,2018,AFTER
Joao N Castro,FAO26,Nekomba Sakaria_26_1,25600,,Yes,0,Summer,24100,2018,AFTER
Joao N Castro,FAO26,Nekomba Sakaria_26_1,24300,,Yes,0,Summer,21300,2018,AFTER
Joao N Castro,FAO26,Nekomba Sakaria_26_1,24300,,Yes,0,Summer,22600,2018,AFTER
Joao N Castro,FAO26,Nekomba Sakaria_26_1,24200,,Yes,0,Summer,22600,2018,AFTER
Joao N Castro,FAO26,Nekomba Sakaria_26_1,24200,,Yes,0,Summer,24199,2018,AFTER
Joao N Castro,FAO26,Nekomba Sakaria_26_1,12150,,Yes,0,Summer,11200,2018,AFTER
Joao N Castro,FAO26,Nekomba Sakaria_26_1,12100,,Yes,0,Summer,11050,2018,AFTER
Joao N Castro,FAO26,Nekomba Sakaria_26_1,19400,,Yes,0,Summer,18200,2018,AFTER
Carolina Castro,FAO27,I M Johaness_27_1,16440,,Yes,0,Summer,16000,2018,AFTER
Carolina Castro,FAO27,I M Johaness_27_1,16490,,Yes,0,Summer,16000,2018,AFTER
Carolina Castro,FAO27,I M Johaness_27_1,16490,,Yes,0,Summer,16000,2018,AFTER
Carolina Castro,FAO27,I M Johaness_27_1,18000,,Yes,0,Summer,17000,2018,AFTER
Carolina Castro,FAO27,I M Johaness_27_1,18000,,Yes,0,Summer,17000,2018,AFTER
Carolina Castro,FAO27,I M Johaness_27_1,11000,,Yes,0,Summer,10000,2018,AFTER
Joao N Castro,FAO29,K Antonio _29_1,25200,,Yes,0,Summer,25020,2018,AFTER
Joao N Castro,FAO29,K Antonio _29_1,24300,,Yes,0,Summer,24120,2018,AFTER
Joao N Castro,FAO29,K Antonio _29_1,24120,,Yes,0,Summer,24018,2018,AFTER
Joao N Castro,FAO29,K Antonio _29_1,22500,,Yes,0,Summer,22300,2018,AFTER
Joao N Castro,FAO29,K Antonio _29_1,24500,,Yes,0,Summer,24180,2018,AFTER
Joao N Castro,FAO29,K Antonio _29_1,23850,,Yes,0,Summer,23730,2018,AFTER
Joao N Castro,FAO29,K Antonio _29_1,6930,,Yes,0,Summer,6870,2018,AFTER
Carolina Castro,FAO30,Nekomba Sakaria_30_1,18000,,Yes,0,Winter,17800,2018,AFTER
Carolina Castro,FAO30,Nekomba Sakaria_30_1,18000,,Yes,0,Winter,17800,2018,AFTER
Carolina Castro,FAO30,Nekomba Sakaria_30_1,18000,,Yes,0,Winter,17800,2018,AFTER
Carolina Castro,FAO30,Nekomba Sakaria_30_1,18000,,Yes,1,Winter,17800,2018,AFTER
Carolina Castro,FAO30,Nekomba Sakaria_30_1,18900,,Yes,0,Winter,18700,2018,AFTER
Joao N Castro,FAO31,Handobe D_31_1,24150,,Yes,0,Summer,2400,2018,AFTER
Joao N Castro,FAO31,Handobe D_31_2,25200,,Yes,0,Summer,25100,2018,AFTER
Joao N Castro,FAO31,Handobe D_31_3,24930,,Yes,0,Winter,24830,2018,AFTER
Joao N Castro,FAO31,Handobe D_31_4,25560,,Yes,2,Winter,25470,2018,AFTER
Joao N Castro,FAO31,Handobe D_31_5,25650,,Yes,1,Winter,25540,2018,AFTER
Joao N Castro,FAO31,Handobe D_31_6,23400,,Yes,1,Winter,23320,2018,AFTER
Joao N Castro,FAO31,Handobe D_31_7,23400,,Yes,0,Winter,23280,2018,AFTER
Joao N Castro,FAO31,Handobe D_31_8,20250,,Yes,1,Winter,20140,2018,AFTER
Meka Bay,FAO18,Johannes Sacheus _18_1,23850,,Yes,0,Winter,23700,2018,AFTER
Meka Bay,FAO18,Johannes Sacheus _18_2,21420,,Yes,0,Winter,21400,2018,AFTER
Meka Bay,FAO18,Johannes Sacheus _18_3,23850,,Yes,0,Winter,23750,2018,AFTER
Meka Bay,FAO18,Johannes Sacheus _18_4,23850,,Yes,0,Winter,23750,2018,AFTER
Meka Bay,FAO18,Johannes Sacheus _18_5,24390,,Yes,0,Winter,24300,2018,AFTER
Liper,FAO32,Faustinus Mutangara _32_1,10406,,Yes,0,Summer,7829,2018,AFTER
Liper,FAO32,Faustinus Mutangara _32_2,10406,,Yes,0,Summer,6390,2018,AFTER
Liper,FAO32,Faustinus Mutangara _32_1,10406,,Yes,0,Summer,7631,2018,AFTER
